timestamp,db
01/07/2014 13:08:39,87.9
01/07/2014 13:08:40,88.4
01/07/2014 13:08:41,85.8
01/07/2014 13:08:42,88
01/07/2014 13:08:43,84.4
01/07/2014 13:08:44,86.4
01/07/2014 13:08:45,85
01/07/2014 13:08:46,85.7
01/07/2014 13:08:47,89.1
01/07/2014 13:08:48,86.7
01/07/2014 13:08:49,80.9
01/07/2014 13:08:50,83.6
01/07/2014 13:08:51,85.2
01/07/2014 13:08:52,83.7
01/07/2014 13:08:53,81.2
01/07/2014 13:08:54,83.1
01/07/2014 13:08:55,84.8
01/07/2014 13:08:56,86.9
01/07/2014 13:08:57,83.1
01/07/2014 13:08:58,84.1
01/07/2014 13:08:59,85
01/07/2014 13:09:00,82.9
01/07/2014 13:09:01,87.8
01/07/2014 13:09:02,84.2
01/07/2014 13:09:03,83.6
01/07/2014 13:09:04,85.3
01/07/2014 13:09:05,85.5
01/07/2014 13:09:06,84.8
01/07/2014 13:09:07,84.6
01/07/2014 13:09:08,86.4
01/07/2014 13:09:09,86
01/07/2014 13:09:10,86.1
01/07/2014 13:09:11,87
01/07/2014 13:09:12,85.4
01/07/2014 13:09:13,82.4
01/07/2014 13:09:14,82.3
01/07/2014 13:09:15,85.8
01/07/2014 13:09:16,82.6
01/07/2014 13:09:17,85.7
01/07/2014 13:09:18,85.9
01/07/2014 13:09:19,82.3
01/07/2014 13:09:20,86.2
01/07/2014 13:09:21,84.6
01/07/2014 13:09:22,86.9
01/07/2014 13:09:23,85
01/07/2014 13:09:24,85.2
01/07/2014 13:09:25,84.4
01/07/2014 13:09:26,85
01/07/2014 13:09:27,86.2
01/07/2014 13:09:28,85
01/07/2014 13:09:29,83.3
01/07/2014 13:09:30,85.2
01/07/2014 13:09:31,85.2
01/07/2014 13:09:32,83.2
01/07/2014 13:09:33,86.4
01/07/2014 13:09:34,86.6
01/07/2014 13:09:35,84.3
01/07/2014 13:09:36,83.8
01/07/2014 13:09:37,86.7
01/07/2014 13:09:38,86.2
01/07/2014 13:09:39,84.1
01/07/2014 13:09:40,88.1
01/07/2014 13:09:41,86.5
01/07/2014 13:09:42,83.2
01/07/2014 13:09:43,85.3
01/07/2014 13:09:44,86
01/07/2014 13:09:45,84.7
01/07/2014 13:09:46,86
01/07/2014 13:09:47,85.8
01/07/2014 13:09:48,85.6
01/07/2014 13:09:49,84.5
01/07/2014 13:09:50,84.3
01/07/2014 13:09:51,86.5
01/07/2014 13:09:52,85.1
01/07/2014 13:09:53,86.3
01/07/2014 13:09:54,86.1
01/07/2014 13:09:55,84.7
01/07/2014 13:09:56,85.9
01/07/2014 13:09:57,85.4
01/07/2014 13:09:58,86.3
01/07/2014 13:09:59,86.6
01/07/2014 13:10:00,86.9
01/07/2014 13:10:01,87.6
01/07/2014 13:10:02,85.3
01/07/2014 13:10:03,88
01/07/2014 13:10:04,87.2
01/07/2014 13:10:05,85.4
01/07/2014 13:10:06,87.4
01/07/2014 13:10:07,85.7
01/07/2014 13:10:08,87
01/07/2014 13:10:09,86.8
01/07/2014 13:10:10,85.3
01/07/2014 13:10:11,86.1
01/07/2014 13:10:12,86.2
01/07/2014 13:10:13,86.4
01/07/2014 13:10:14,86.6
01/07/2014 13:10:15,86.2
01/07/2014 13:10:16,86.1
01/07/2014 13:10:17,85.1
01/07/2014 13:10:18,85.7
01/07/2014 13:10:19,85.9
01/07/2014 13:10:20,87.7
01/07/2014 13:10:21,87.1
01/07/2014 13:10:22,87.7
01/07/2014 13:10:23,86
01/07/2014 13:10:24,87.3
01/07/2014 13:10:25,87.8
01/07/2014 13:10:26,85.4
01/07/2014 13:10:27,85.7
01/07/2014 13:10:28,88
01/07/2014 13:10:29,88.5
01/07/2014 13:10:30,86.9
01/07/2014 13:10:31,86.6
01/07/2014 13:10:32,87.2
01/07/2014 13:10:33,85.7
01/07/2014 13:10:34,84.9
01/07/2014 13:10:35,86.7
01/07/2014 13:10:36,85.3
01/07/2014 13:10:37,85.9
01/07/2014 13:10:38,86.1
01/07/2014 13:10:39,84.5
01/07/2014 13:10:40,84.9
01/07/2014 13:10:41,85.3
01/07/2014 13:10:42,84.6
01/07/2014 13:10:43,81
01/07/2014 13:10:44,85.4
01/07/2014 13:10:45,84.9
01/07/2014 13:10:46,85.3
01/07/2014 13:10:47,85.5
01/07/2014 13:10:48,85.6
01/07/2014 13:10:49,89.9
01/07/2014 13:10:50,91.3
01/07/2014 13:10:51,84.7
01/07/2014 13:10:52,84.8
01/07/2014 13:10:53,86.2
01/07/2014 13:10:54,84.4
01/07/2014 13:10:55,86.2
01/07/2014 13:10:56,85.3
01/07/2014 13:10:57,85
01/07/2014 13:10:58,86.1
01/07/2014 13:10:59,85
01/07/2014 13:11:00,84
01/07/2014 13:11:01,82.9
01/07/2014 13:11:02,85.1
01/07/2014 13:11:03,84.8
01/07/2014 13:11:04,84.4
01/07/2014 13:11:05,85.9
01/07/2014 13:11:06,85.9
01/07/2014 13:11:07,85.6
01/07/2014 13:11:08,86.6
01/07/2014 13:11:09,81.9
01/07/2014 13:11:10,83
01/07/2014 13:11:11,85.2
01/07/2014 13:11:12,85.6
01/07/2014 13:11:13,82
01/07/2014 13:11:14,86.7
01/07/2014 13:11:15,82.8
01/07/2014 13:11:16,84
01/07/2014 13:11:17,86.8
01/07/2014 13:11:18,84.6
01/07/2014 13:11:19,84.6
01/07/2014 13:11:20,84
01/07/2014 13:11:21,85.7
01/07/2014 13:11:22,86
01/07/2014 13:11:23,85.1
01/07/2014 13:11:24,84.9
01/07/2014 13:11:25,84.2
01/07/2014 13:11:26,82.9
01/07/2014 13:11:27,87.6
01/07/2014 13:11:28,89.5
01/07/2014 13:11:29,86.5
01/07/2014 13:11:30,88.7
01/07/2014 13:11:31,87.9
01/07/2014 13:11:32,84.7
01/07/2014 13:11:33,86.3
01/07/2014 13:11:34,86.1
01/07/2014 13:11:35,86.1
01/07/2014 13:11:36,84.8
01/07/2014 13:11:37,86.9
01/07/2014 13:11:38,85.8
01/07/2014 13:11:39,85.9
01/07/2014 13:11:40,84.3
01/07/2014 13:11:41,85.4
01/07/2014 13:11:42,84.1
01/07/2014 13:11:43,83.6
01/07/2014 13:11:44,82.4
01/07/2014 13:11:45,85.1
01/07/2014 13:11:46,79.8
01/07/2014 13:11:47,86.6
01/07/2014 13:11:48,84.3
01/07/2014 13:11:49,80.6
01/07/2014 13:11:50,85.6
01/07/2014 13:11:51,85.6
01/07/2014 13:11:52,85.7
01/07/2014 13:11:53,81.5
01/07/2014 13:11:54,88.1
01/07/2014 13:11:55,83.4
01/07/2014 13:11:56,83
01/07/2014 13:11:57,84.6
01/07/2014 13:11:58,86.9
01/07/2014 13:11:59,81.5
01/07/2014 13:12:00,87
01/07/2014 13:12:01,87.2
01/07/2014 13:12:02,84.6
01/07/2014 13:12:03,86.8
01/07/2014 13:12:04,82.3
01/07/2014 13:12:05,85.9
01/07/2014 13:12:06,83.8
01/07/2014 13:12:07,81.4
01/07/2014 13:12:08,86.5
01/07/2014 13:12:09,84.8
01/07/2014 13:12:10,86.4
01/07/2014 13:12:11,86.8
01/07/2014 13:12:12,85.5
01/07/2014 13:12:13,86.6
01/07/2014 13:12:14,83
01/07/2014 13:12:15,89.1
01/07/2014 13:12:16,91.2
01/07/2014 13:12:17,88.1
01/07/2014 13:12:18,89.5
01/07/2014 13:12:19,87.1
01/07/2014 13:12:20,86
01/07/2014 13:12:21,88.9
01/07/2014 13:12:22,87.6
01/07/2014 13:12:23,89.1
01/07/2014 13:12:24,89.9
01/07/2014 13:12:25,86.3
01/07/2014 13:12:26,83.8
01/07/2014 13:12:27,83.4
01/07/2014 13:12:28,85.9
01/07/2014 13:12:29,85
01/07/2014 13:12:30,86.3
01/07/2014 13:12:31,89
01/07/2014 13:12:32,84.6
01/07/2014 13:12:33,85.9
01/07/2014 13:12:34,86.8
01/07/2014 13:12:35,85
01/07/2014 13:12:36,85.6
01/07/2014 13:12:37,84.4
01/07/2014 13:12:38,86.5
01/07/2014 13:12:39,86.2
01/07/2014 13:12:40,84.3
01/07/2014 13:12:41,86
01/07/2014 13:12:42,90
01/07/2014 13:12:43,89.2
01/07/2014 13:12:44,83.6
01/07/2014 13:12:45,83.9
01/07/2014 13:12:46,85.7
01/07/2014 13:12:47,85.8
01/07/2014 13:12:48,85.9
01/07/2014 13:12:49,87
01/07/2014 13:12:50,85.7
01/07/2014 13:12:51,85.4
01/07/2014 13:12:52,86.7
01/07/2014 13:12:53,85.7
01/07/2014 13:12:54,85.4
01/07/2014 13:12:55,85.1
01/07/2014 13:12:56,85.8
01/07/2014 13:12:57,84.4
01/07/2014 13:12:58,87.2
01/07/2014 13:12:59,85.9
01/07/2014 13:13:00,85.1
01/07/2014 13:13:01,86
01/07/2014 13:13:02,84.2
01/07/2014 13:13:03,85.9
01/07/2014 13:13:04,86.1
01/07/2014 13:13:05,86
01/07/2014 13:13:06,86.7
01/07/2014 13:13:07,85.5
01/07/2014 13:13:08,84.9
01/07/2014 13:13:09,80.3
01/07/2014 13:13:10,85.2
01/07/2014 13:13:11,86.6
01/07/2014 13:13:12,86.2
01/07/2014 13:13:13,87.9
01/07/2014 13:13:14,86.8
01/07/2014 13:13:15,96
01/07/2014 13:13:16,91.8
01/07/2014 13:13:17,86.3
01/07/2014 13:13:18,89.3
01/07/2014 13:13:19,88.7
01/07/2014 13:13:20,86
01/07/2014 13:13:21,85.8
01/07/2014 13:13:22,85.9
01/07/2014 13:13:23,85.9
01/07/2014 13:13:24,83.3
01/07/2014 13:13:25,85.6
01/07/2014 13:13:26,85.6
01/07/2014 13:13:27,86.4
01/07/2014 13:13:28,85.2
01/07/2014 13:13:29,87
01/07/2014 13:13:30,85.1
01/07/2014 13:13:31,86.6
01/07/2014 13:13:32,87.9
01/07/2014 13:13:33,85.9
01/07/2014 13:13:34,86.1
01/07/2014 13:13:35,87.3
01/07/2014 13:13:36,88.8
01/07/2014 13:13:37,88.3
01/07/2014 13:13:38,86.1
01/07/2014 13:13:39,87.9
01/07/2014 13:13:40,85.1
01/07/2014 13:13:41,86.1
01/07/2014 13:13:42,86.8
01/07/2014 13:13:43,86.4
01/07/2014 13:13:44,86.2
01/07/2014 13:13:45,86.4
01/07/2014 13:13:46,88.4
01/07/2014 13:13:47,84.5
01/07/2014 13:13:48,86
01/07/2014 13:13:49,84.2
01/07/2014 13:13:50,84.5
01/07/2014 13:13:51,87.3
01/07/2014 13:13:52,84.7
01/07/2014 13:13:53,87.4
01/07/2014 13:13:54,84.2
01/07/2014 13:13:55,85.4
01/07/2014 13:13:56,85.6
01/07/2014 13:13:57,86.1
01/07/2014 13:13:58,85.4
01/07/2014 13:13:59,80
01/07/2014 13:14:00,86.3
01/07/2014 13:14:01,86.8
01/07/2014 13:14:02,79.7
01/07/2014 13:14:03,86.8
01/07/2014 13:14:04,87.5
01/07/2014 13:14:05,85.8
01/07/2014 13:14:06,81.6
01/07/2014 13:14:07,84.4
01/07/2014 13:14:08,86.3
01/07/2014 13:14:09,85.4
01/07/2014 13:14:10,85.4
01/07/2014 13:14:11,94.4
01/07/2014 13:14:12,89.1
01/07/2014 13:14:13,86.3
01/07/2014 13:14:14,85.2
01/07/2014 13:14:15,85.3
01/07/2014 13:14:16,88
01/07/2014 13:14:17,88.3
