timestamp	db	tiempodejuego	average
01/07/2014 13:43:47	83.80	43:20	85.16
01/07/2014 13:43:57	87.50	43:30	88.67
01/07/2014 13:44:07	85.40	43:40	86.26
01/07/2014 13:44:17	93.60	43:50	86.21
01/07/2014 13:44:27	78.90	44:00	84.00
01/07/2014 13:44:37	84	44:10	85.19
01/07/2014 13:44:47	86	44:20	86.64
01/07/2014 13:44:57	86.30	44:30	84.33
01/07/2014 13:45:07	83.50	44:40	83.78
01/07/2014 13:45:17	85.70	44:50	83.13
01/07/2014 13:45:27	86	45:00	84.06
01/07/2014 14:07:01	79.80	45:00	81.74
01/07/2014 14:07:11	82.90	45:10	82.01
01/07/2014 14:07:21	82.50	45:20	82.01
01/07/2014 14:07:31	84.40	45:30	83.63
01/07/2014 14:07:41	86.30	45:40	84.44
01/07/2014 14:07:51	83.30	45:50	82.78
01/07/2014 14:08:01	82.80	46:00	82.51
01/07/2014 14:08:11	82.50	46:10	81.80
01/07/2014 14:08:21	79.30	46:20	81.91
01/07/2014 14:08:31	82.90	46:30	83.12
01/07/2014 14:08:41	83	46:40	83.18
01/07/2014 14:08:51	84.50	46:50	84.03
01/07/2014 14:09:01	81.70	47:00	83.13
01/07/2014 14:09:11	80.20	47:10	80.85
01/07/2014 14:09:21	81.90	47:20	81.52
01/07/2014 14:09:31	80.90	47:30	82.48
01/07/2014 14:09:41	82.30	47:40	81.79
01/07/2014 14:09:51	83.60	47:50	83.80
01/07/2014 14:10:01	84.40	48:00	82.86
01/07/2014 14:10:11	84	48:10	83.09
01/07/2014 14:10:21	81.40	48:20	83.03
01/07/2014 14:10:31	81	48:30	83.25
01/07/2014 14:10:41	84.90	48:40	83.32
01/07/2014 14:10:51	82.60	48:50	84.09
01/07/2014 14:11:01	84	49:00	85.06
01/07/2014 14:11:11	84.60	49:10	84.51
01/07/2014 14:11:21	80	49:20	83.78
01/07/2014 14:11:31	86.80	49:30	84.64
01/07/2014 14:11:41	81.90	49:40	83.98
01/07/2014 14:11:51	83.10	49:50	84.02
01/07/2014 14:12:01	80.50	50:00	83.70
01/07/2014 14:12:11	78.50	50:10	81.79
01/07/2014 14:12:21	78.70	50:20	82.87
01/07/2014 14:12:31	85.40	50:30	83.36
01/07/2014 14:12:41	85.10	50:40	84.20
01/07/2014 14:12:51	99.30	50:50	88.22
01/07/2014 14:13:01	81.70	51:00	83.09
01/07/2014 14:13:11	84.50	51:10	87.66
01/07/2014 14:13:21	90.40	51:20	84.66
01/07/2014 14:13:31	84.60	51:30	82.84
01/07/2014 14:13:41	84.20	51:40	82.68
01/07/2014 14:13:51	82.70	51:50	82.88
01/07/2014 14:14:01	83	52:00	84.27
01/07/2014 14:14:11	80.20	52:10	82.63
01/07/2014 14:14:21	85	52:20	82.86
01/07/2014 14:14:31	83.40	52:30	80.70
01/07/2014 14:14:41	85.20	52:40	86.08
01/07/2014 14:14:51	105.80	52:50	93.81
01/07/2014 14:15:01	83.30	53:00	83.67
01/07/2014 14:15:11	84.80	53:10	83.70
01/07/2014 14:15:21	83.80	53:20	85.78
01/07/2014 14:15:31	82	53:30	83.31
01/07/2014 14:15:41	83.40	53:40	83.72
01/07/2014 14:15:51	81.30	53:50	87.36
01/07/2014 14:16:01	92.80	54:00	85.73
01/07/2014 14:16:11	83.20	54:10	84.64
01/07/2014 14:16:21	81	54:20	83.59
01/07/2014 14:16:31	84	54:30	83.23
01/07/2014 14:16:41	85.10	54:40	85.99
01/07/2014 14:16:51	86	54:50	84.70
01/07/2014 14:17:01	82.40	55:00	84.16
01/07/2014 14:17:11	85.20	55:10	85.23
01/07/2014 14:17:21	88	55:20	87.99
01/07/2014 14:17:31	85.80	55:30	84.90
01/07/2014 14:17:41	84.10	55:40	84.19
01/07/2014 14:17:51	83.10	55:50	84.80
01/07/2014 14:18:01	84.80	56:00	83.33
01/07/2014 14:18:11	86.50	56:10	83.70
01/07/2014 14:18:21	85.30	56:20	88.50
01/07/2014 14:18:31	89.60	56:30	90.53
01/07/2014 14:18:41	85.60	56:40	85.75
01/07/2014 14:18:51	85	56:50	85.28
01/07/2014 14:19:01	82.10	57:00	83.91
01/07/2014 14:19:11	83.40	57:10	85.10
01/07/2014 14:19:21	84.10	57:20	86.26
01/07/2014 14:19:31	88.10	57:30	87.94
01/07/2014 14:19:41	91.30	57:40	85.71
01/07/2014 14:19:51	86.10	57:50	84.57
01/07/2014 14:20:01	82.50	58:00	84.89
01/07/2014 14:20:11	85.10	58:10	83.91
01/07/2014 14:20:21	84.40	58:20	83.19
01/07/2014 14:20:31	83	58:30	86.45
01/07/2014 14:20:41	84.20	58:40	84.52
01/07/2014 14:20:51	84.20	58:50	84.32
01/07/2014 14:21:01	86.90	59:00	83.20
01/07/2014 14:21:11	93.20	59:10	88.47
01/07/2014 14:21:21	85.80	59:20	84.80
01/07/2014 14:21:31	84.60	59:30	85.57
01/07/2014 14:21:41	86.10	59:40	84.82
01/07/2014 14:21:51	81.70	59:50	83.04
01/07/2014 14:22:01	84.60	60:00	84.20
01/07/2014 14:22:11	85.70	60:10	84.06
01/07/2014 14:22:21	83.70	60:20	84.00
01/07/2014 14:22:31	84.10	60:30	83.51
01/07/2014 14:22:41	85.60	60:40	84.55
01/07/2014 14:22:51	85.50	60:50	85.63
01/07/2014 14:23:01	85.90	61:00	85.28
01/07/2014 14:23:11	84.10	61:10	82.65
01/07/2014 14:23:21	84.50	61:20	84.40
01/07/2014 14:23:31	87.20	61:30	91.91
01/07/2014 14:23:41	87.20	61:40	94.30
01/07/2014 14:23:51	93.40	61:50	88.39
01/07/2014 14:24:01	86.20	62:00	85.33
01/07/2014 14:24:11	83.10	62:10	84.48
01/07/2014 14:24:21	79.80	62:20	83.31
01/07/2014 14:24:31	85.80	62:30	85.33
01/07/2014 14:24:41	88.80	62:40	84.36
01/07/2014 14:24:51	82.40	62:50	83.80
01/07/2014 14:25:01	79	63:00	83.33
01/07/2014 14:25:11	85	63:10	81.57
01/07/2014 14:25:21	90.80	63:20	88.10
01/07/2014 14:25:31	86	63:30	82.70
01/07/2014 14:25:41	83.90	63:40	83.26
01/07/2014 14:25:51	84.10	63:50	84.22
01/07/2014 14:26:01	78.70	64:00	84.08
01/07/2014 14:26:11	84.40	64:10	82.65
01/07/2014 14:26:21	85.70	64:20	83.54
01/07/2014 14:26:31	84.20	64:30	83.65
01/07/2014 14:26:41	83.40	64:40	85.20
01/07/2014 14:26:51	81.90	64:50	84.50
01/07/2014 14:27:01	86.30	65:00	84.73
01/07/2014 14:27:11	83.40	65:10	83.99
01/07/2014 14:27:21	84	65:20	83.19
01/07/2014 14:27:31	86.70	65:30	84.08
01/07/2014 14:27:41	86.40	65:40	86.10
01/07/2014 14:27:51	80.70	65:50	82.74
01/07/2014 14:28:01	80.70	66:00	83.79
01/07/2014 14:28:11	80.50	66:10	84.63
01/07/2014 14:28:21	85.70	66:20	85.82
01/07/2014 14:28:31	85	66:30	82.81
01/07/2014 14:28:41	82.20	66:40	83.53
01/07/2014 14:28:51	87.20	66:50	84.47
01/07/2014 14:29:01	84.70	67:00	84.41
01/07/2014 14:29:11	84	67:10	88.78
01/07/2014 14:29:21	96.90	67:20	84.10
01/07/2014 14:29:31	79.30	67:30	81.57
01/07/2014 14:29:41	85.90	67:40	84.73
01/07/2014 14:29:51	86.30	67:50	82.86
