decibeles,minutosPartido
"79,90",59:02
"85,70",59:03
"80,50",59:04
"82,90",59:05
"83,20",59:06
"80,10",59:07
"84,20",59:08
"93,20",59:09
"93,50",59:10
"90,90",59:11
"86,40",59:12
"93,00",59:13
"89,80",59:15
"86,30",59:15
"85,50",59:16
"84,90",59:17
"85,70",59:18
"85,80",59:19
"85,00",59:20
"85,00",59:21
"83,80",59:22
"83,00",59:24
"83,20",59:24
"84,80",59:25
"85,20",59:26
"85,60",59:27
"85,20",59:28
"84,60",59:29
"85,60",59:30
"86,90",59:31
"87,40",59:32
"86,50",59:33
"85,40",59:34
"85,20",59:35
"85,30",59:36
"84,50",59:37
"84,30",59:38
"86,10",59:39
"85,40",59:40
"85,40",59:41
"85,20",59:42
"86,10",59:43
"82,10",59:44
"84,40",59:45
"85,80",59:46
"84,60",59:47
"83,10",59:48
"81,70",59:49
"81,40",59:50
"82,60",59:51
"84,20",59:52
"82,80",59:53
"83,40",59:54
"84,70",59:55
"83,20",59:56
"82,50",59:57
"83,90",59:58
"84,60",60:00
"84,20",60:00
"83,60",60:01
"84,80",60:02
"84,80",60:03
"84,10",60:04
"83,30",60:05
"85,00",60:06
"84,00",60:07
"83,00",60:09
"85,70",60:09
"84,50",60:10
"86,60",60:11
"80,30",60:12
"83,40",60:13
"84,00",60:14
"84,40",60:15
"83,60",60:16
"85,30",60:17
"82,70",60:18
"83,70",60:19
"87,10",60:20
"83,50",60:21
"84,10",60:22
"82,40",60:23
"85,60",60:24
"80,40",60:25
"85,00",60:26
"85,30",60:27
"83,90",60:28
"84,10",60:29
"86,70",60:30
"83,20",60:31
"79,70",60:32
"84,80",60:33
"85,10",60:34
"83,90",60:35
"81,60",60:36
"86,60",60:37
"79,40",60:38
"85,60",60:39
"85,80",60:40
"82,40",60:41
"81,40",60:42
"82,20",60:43
"86,70",60:45
"86,70",60:45
"85,30",60:46
"85,10",60:47
"84,30",60:48
"85,50",60:49
"84,80",60:50
"85,10",60:51
"86,40",60:52
"87,40",60:54
"85,70",60:54
"85,70",60:55
"85,00",60:56
"84,80",60:57
"85,30",60:58
"85,90",60:59
"84,70",61:00
"86,50",61:01
"85,90",61:02
"85,40",61:03
"85,90",61:04
"81,90",61:05
"85,60",61:06
"85,10",61:07
"85,90",61:08
"84,10",61:09
"82,90",61:10
"84,50",61:11
"81,80",61:12
"84,10",61:13
"83,40",61:14
"78,60",61:15
"85,20",61:16
"82,40",61:17
"79,50",61:18
"84,50",61:19
"85,50",61:20
"78,20",61:21
"80,80",61:22
"86,50",61:23
"86,80",61:24
"82,90",61:25
"86,60",61:26
"85,50",61:27
"86,70",61:28
"87,20",61:30
"87,50",61:30
"96,10",61:31
"106,10",61:32
"100,50",61:33
"89,60",61:34
"86,40",61:35
"90,10",61:36
"88,90",61:37
"86,70",61:39
"87,20",61:39
"86,60",61:40
"89,10",61:41
"97,80",61:42
"105,60",61:43
"102,80",61:44
"94,80",61:45
"91,40",61:46
"91,10",61:47
"96,60",61:48
"93,40",61:49
"92,20",61:50
"92,60",61:51
"93,30",61:52
"88,00",61:53
"85,30",61:54
"83,40",61:55
"83,70",61:56
"82,00",61:57
"83,20",61:58
"86,20",61:59
"86,60",62:00
"85,60",62:01
"84,90",62:02
"86,20",62:03
"84,80",62:04
"86,30",62:05
"86,80",62:06
"84,30",62:07
"81,60",62:08
"83,10",62:09
"84,50",62:10
"85,80",62:11
"87,80",62:12
"87,30",62:13
"85,40",62:15
"82,40",62:15
"84,20",62:16
"85,50",62:17
"78,80",62:18
"79,80",62:19
"81,90",62:20
"83,30",62:21
"82,90",62:22
"84,80",62:24
"83,60",62:24
"84,80",62:25
"85,30",62:26
"83,30",62:27
"83,40",62:28
"85,80",62:29
"82,30",62:30
"85,50",62:31
"85,70",62:32
"82,90",62:33
"85,00",62:34
"86,10",62:35
"85,50",62:36
"84,00",62:37
"88,80",62:38
"88,80",62:39
"86,10",62:40
"83,60",62:41
"84,60",62:42
"78,80",62:43
"84,20",62:44
"85,40",62:45
"85,00",62:46
"83,40",62:47
"86,00",62:48
"82,40",62:49
"82,50",62:50
"84,00",62:51
"84,50",62:52
"86,00",62:53
"85,40",62:54
"82,60",62:55
"84,80",62:56
"83,00",62:57
"84,40",62:58
"79,00",63:00
"84,70",63:00
"84,00",63:01
"83,10",63:02
"83,70",63:03
"83,40",63:04
"81,30",63:05
"83,00",63:06
"82,90",63:07
"84,20",63:09
"85,00",63:09
"74,70",63:10
"83,00",63:11
"83,10",63:12
"76,60",63:13
"77,00",63:14
"80,60",63:15
"83,40",63:16
"85,10",63:17
"87,50",63:18
"90,80",63:19
"91,90",63:20
"88,30",63:21
"93,10",63:22
"92,10",63:23
"93,60",63:24
"84,90",63:25
"81,20",63:26
"81,50",63:27
"83,60",63:28
"86,00",63:29
"79,80",63:30
"81,70",63:31
"83,30",63:32
"81,30",63:33
"83,70",63:34
"84,20",63:35
"85,70",63:36
"81,40",63:37
"83,20",63:38
"83,90",63:39
"83,80",63:40
"84,90",63:41
"84,20",63:42
"84,70",63:43
"84,40",63:45
"80,70",63:45
"80,90",63:46
"81,70",63:47
"83,40",63:48
"84,10",63:49
"85,00",63:50
"84,80",63:51
"84,90",63:52
"84,20",63:54
"81,60",63:54
"85,20",63:55
"84,30",63:56
"82,10",63:57
"86,80",63:58
"78,70",63:59
"83,30",64:00
"86,20",64:01
"77,80",64:02
"84,80",64:03
"86,40",64:04
"87,10",64:05
"87,60",64:06
"86,80",64:07
"82,10",64:08
"84,40",64:09
"83,60",64:10
"81,90",64:11
"81,20",64:12
"86,90",64:13
"78,90",64:14
"80,80",64:15
"84,70",64:16
"82,50",64:17
"81,60",64:18
"85,70",64:19
"85,30",64:20
"86,50",64:21
"78,80",64:22
"85,70",64:23
"80,70",64:24
"86,20",64:25
"85,90",64:26
"80,30",64:27
"80,30",64:28
"84,20",64:30
"86,40",64:30
"80,80",64:31
"82,50",64:32
"86,60",64:33
"80,20",64:34
"80,80",64:35
"82,80",64:36
"85,30",64:37
"86,90",64:39
"83,40",64:39
"85,80",64:40
"82,00",64:41
"87,90",64:42
"82,30",64:43
"87,20",64:44
"85,60",64:45
"86,30",64:46
"84,40",64:47
"83,90",64:48
"81,90",64:49
"87,30",64:50
"85,20",64:51
"87,50",64:52
"81,80",64:53
"84,30",64:54
"84,90",64:55
"83,00",64:56
"86,00",64:57
"83,10",64:58
"86,30",64:59
